vibration_amplitude_mm,vibration_frequency_hz,stress_mPa,strain_micro,concrete_age_years,ambient_temp_c,humidity_pct,maintenance_score,material_grade,foundation_settlement_mm,load_ratio,failure_risk,material_grade_encoded,failure_risk_encoded,stress_capacity_ratio,vibration_severity_index,maintenance_decay_index,settlement_load_interaction,environmental_exposure_index,age_group_encoded
5.65,99.47,38.46,1945.79,28.6,38.4,57.5,1,M50,20.98,0.86,Low,3,1,0.7692,562.01,26.0,18.043,33.58,1
14.26,91.98,45.24,2931.84,25.6,-9.0,76.0,2,M20,11.9,1.15,High,0,0,2.262,1311.63,12.19,13.685,8.36,1
10.99,69.25,77.64,525.3,14.0,1.2,62.2,10,M20,21.18,0.62,High,0,0,3.882,761.06,1.386,13.132,13.19,0
9.0,114.77,33.9,541.26,45.9,29.3,26.2,10,M50,11.85,0.98,Low,3,1,0.678,1032.93,4.545,11.613,12.92,2
2.38,24.86,78.92,1993.18,36.3,12.5,33.9,9,M30,13.92,0.94,High,1,0,2.6307,59.17,3.989,13.085,11.02,1
2.38,14.0,12.49,3317.69,65.1,48.9,36.4,7,M40,24.88,0.48,Low,2,1,0.3123,33.32,9.169,11.942,25.08,2
0.92,102.62,71.03,1510.99,3.4,29.9,39.3,7,M20,23.79,1.21,High,0,0,3.5515,94.41,0.479,28.786,19.61,0
13.0,53.26,77.04,1211.6,48.6,47.4,62.4,10,M20,6.79,0.82,High,0,0,3.852,692.38,4.812,5.568,42.06,2
9.04,101.79,20.45,2162.74,57.5,2.1,57.8,8,M20,21.72,0.59,Medium,0,2,1.0225,920.18,7.099,12.815,12.77,2
10.64,107.28,41.58,3263.53,57.2,41.8,35.2,8,M30,9.76,0.38,Medium,1,2,1.386,1141.46,7.062,3.709,21.75,2
0.36,8.43,19.07,2945.55,66.6,9.3,25.1,9,M20,1.78,0.72,Low,0,1,0.9535,3.03,7.319,1.282,7.35,2
14.55,106.13,65.06,3478.6891000000005,54.9,49.4,32.9,2,M30,14.39,1.0,High,1,0,2.1687,1544.19,26.143,14.39,22.83,2
12.5,54.35,50.5,176.73,69.7,-0.5,93.8,8,M30,24.43,0.89,Medium,1,2,1.6833,679.38,8.605,21.743,18.29,2
3.22,61.74,59.0,483.72,25.6,21.0,55.1,8,M20,24.36,1.0,High,0,0,2.95,198.8,3.16,24.36,22.59,1
2.77,75.56,21.7,2172.19,38.2,37.6,85.1,5,M20,3.16,1.07,Low,0,1,1.085,209.3,7.49,3.381,49.02,1
2.79,111.24,23.0,2889.96,2.0,16.0,83.7,5,M30,19.28,0.69,Low,1,1,0.7667,310.36,0.392,13.303,30.13,0
4.6,3.27,8.53,1069.83,1.5,18.1,58.4,4,M20,20.07,0.77,Low,0,1,0.4265,15.04,0.366,15.454,22.25,0
7.9,57.74,32.38,913.32,18.8,49.2,73.0,5,M20,9.22,1.29,Medium,0,2,1.619,456.15,3.686,11.894,50.52,1
6.51,82.84,52.58,2775.72,8.5,15.5,34.5,2,M20,16.46,1.26,High,0,0,2.629,539.29,4.048,20.74,12.25,0
4.4,87.0,77.92,291.7,20.3,26.2,71.6,2,M30,12.2,0.66,High,1,0,2.5973,382.8,9.667,8.052,33.08,1
9.2,83.41,61.69,1355.9,14.1,-6.7,40.4,5,M40,5.7,0.95,Low,2,1,1.5422,767.37,2.765,5.415,5.37,0
2.14,17.0,42.01,1819.75,3.1,40.5,82.4,3,M20,19.03,0.49,Medium,0,2,2.1005,36.38,1.0,9.325,49.85,0
4.42,36.63,86.02,2005.19,68.3,28.9,26.3,1,M40,6.57,0.37,Medium,2,2,2.1505,161.9,62.091,2.431,12.86,2
5.53,43.69,66.14,2577.29,1.6,14.2,78.0,9,M40,8.51,1.05,Medium,2,2,1.6535,241.61,0.176,8.936,26.68,0
6.87,96.73,84.06,1306.48,55.5,-9.0,27.5,2,M40,4.75,0.68,Medium,2,2,2.1015,664.54,26.429,3.23,3.03,2
11.79,34.17,49.84,2183.13,12.3,25.5,86.1,10,M20,17.98,0.39,High,0,0,2.492,402.86,1.218,7.012,39.18,0
3.04,26.07,27.01,2090.28,68.5,-9.2,42.8,2,M30,11.47,1.03,Low,1,1,0.9003,79.25,32.619,11.814,4.62,2
7.74,114.94,9.49,1961.89,67.1,-9.6505,69.1,4,M40,11.08,1.21,Low,2,1,0.2372,889.64,16.366,13.407,7.15,2
8.91,2.05,66.72,2277.64,49.4,27.0,56.6,2,M50,15.11,1.23,Medium,3,2,1.3344,18.27,23.524,18.585,26.6,2
0.74,119.42545,15.31,982.13,50.7,1.3,47.5,7,M50,3.93,0.86,Low,3,1,0.3062,88.37,7.141,3.38,10.12,2
9.13,81.54,30.74,387.81,1.4,1.5,68.4,10,M30,22.45,0.73,Low,1,1,1.0247,744.46,0.139,16.388,14.71,0
2.6,99.59,50.26,505.52,73.9,29.2,91.1,1,M30,11.63,0.36,Medium,1,2,1.6753,258.93,67.182,4.187,44.82,2
1.02,36.06,52.98,863.58,66.0,-6.8,23.1,2,M40,9.16,1.07,Low,2,1,1.3245,36.78,31.429,9.801,3.05,2
14.24,2.7,56.05,1800.67,67.2,8.8,88.9,5,M40,3.17,1.24,Medium,2,2,1.4012,38.45,13.176,3.931,25.6,2
14.49,88.81,19.13,2957.51,49.8,-1.0,65.7,2,M30,4.2,1.18,Medium,1,2,0.6377,1286.86,23.714,4.956,12.48,2
12.14,100.26,37.28,2484.4,26.5,24.8,80.5,9,M20,23.01,1.03,High,0,0,1.864,1217.16,2.912,23.7,36.06,1
4.6,89.12,57.46,2782.74,67.1,29.7,48.8,4,M20,11.42,0.21,High,0,0,2.873,409.95,16.366,2.398,24.25,2
1.51,18.0,87.43,1293.32,22.6,33.3,55.4,9,M30,18.05,0.65,High,1,0,2.9143,27.18,2.484,11.733,29.53,1
10.28,90.66,66.85,1475.82,42.6,5.3,85.2,1,M40,2.01,0.65,Medium,2,2,1.6712,931.98,38.727,1.306,21.56,2
6.63,92.5,83.42,1438.52,8.4,-4.6,51.1,1,M50,16.09,1.18,Medium,3,2,1.6684,613.28,7.636,18.986,7.87,0
1.87,79.37,69.79,752.37,69.2,-5.3,60.1,1,M40,23.04,0.27,Medium,2,2,1.7448,148.42,62.909,6.221,8.83,2
7.45,92.17,55.3,308.14,11.4,15.6,21.5,4,M20,7.5,0.78,High,0,0,2.765,686.67,2.78,5.85,7.65,0
0.56,101.66,21.32,2109.11,17.6,46.8,31.9,9,M40,14.48,0.35,Low,2,1,0.533,56.93,1.934,5.068,21.31,1
13.64,74.02,61.67,3463.34,42.3,3.1,68.1,8,M20,23.51,0.93,High,0,0,3.0835,1009.63,5.222,21.864,15.73,2
3.92,11.54,57.99,667.22,57.5,5.4,73.8,7,M40,17.98,1.07,Medium,2,2,1.4498,45.24,8.099,19.239,18.75,2
9.95,59.03,56.21,258.73,46.8,-3.9,63.7,1,M40,1.56,0.91,Medium,2,2,1.4053,587.35,42.545,1.42,10.26,2
4.71,10.24,46.63,2750.41,18.2,26.3,30.7,3,M20,9.47,1.07,High,0,0,2.3315,48.23,5.871,10.133,14.21,1
7.83,49.5,49.94,958.79,1.4,30.8,53.4,9,M20,2.14,0.87,Medium,0,2,2.497,387.58,0.154,1.862,27.13,0
8.22,49.45,33.43,2920.79,57.0,28.6,46.6,9,M20,21.53,0.41,Medium,0,2,1.6715,406.48,6.264,8.827,22.65,2
2.81,8.86,49.14,2493.38,73.9,41.7,57.2,5,M20,15.54,0.62,High,0,0,2.457,24.9,14.49,9.635,35.29,2
14.55,42.51,21.79,3315.29,60.9,19.2,85.3,6,M40,23.91,1.25,Medium,2,2,0.5448,618.52,9.984,29.888,33.44,2
11.64,14.21,73.44,1490.35,35.1,-1.9,78.2,6,M20,0.49,0.52,High,0,0,3.672,165.4,5.754,0.255,14.15,1
14.1,97.18,20.79,2350.7,67.9,7.4,26.3,10,M20,10.58,0.27,Low,0,1,1.0395,1370.24,6.723,2.857,7.21,2
