vibration_amplitude_mm,vibration_frequency_hz,stress_mPa,strain_micro,concrete_age_years,ambient_temp_c,humidity_pct,maintenance_score,material_grade,foundation_settlement_mm,load_ratio,failure_risk
5.65,99.47,38.46,1945.79,28.6,38.4,57.5,1,M50,20.98,0.86,Low
14.26,91.98,45.24,2931.84,25.6,-9.0,76.0,2,M20,11.9,1.15,High
10.99,69.25,77.64,525.3,14.0,1.2,62.2,10,M20,21.18,0.62,High
9.0,114.77,33.9,541.26,45.9,29.3,26.2,10,M50,11.85,0.98,Low
2.38,24.86,78.92,1993.18,36.3,12.5,33.9,9,M30,13.92,0.94,High
2.38,14.0,12.49,3317.69,65.1,48.9,36.4,7,M40,24.88,0.48,Low
0.92,102.62,71.03,1510.99,3.4,29.9,39.3,7,M20,23.79,1.21,High
13.0,53.26,77.04,1211.6,48.6,47.4,62.4,10,M20,6.79,0.82,High
9.04,101.79,20.45,2162.74,57.5,2.1,57.8,8,M20,21.72,0.59,Medium
10.64,107.28,41.58,3263.53,57.2,41.8,35.2,8,M30,9.76,0.38,Medium
0.36,8.43,19.07,2945.55,66.6,9.3,25.1,9,M20,1.78,0.72,Low
14.55,106.13,65.06,3484.64,54.9,49.4,32.9,2,M30,14.39,1.0,High
12.5,54.35,50.5,176.73,69.7,-0.5,93.8,8,M30,24.43,0.89,Medium
3.22,61.74,59.0,483.72,25.6,21.0,55.1,8,M20,24.36,1.0,High
2.77,75.56,21.7,2172.19,38.2,37.6,85.1,5,M20,3.16,1.07,Low
2.79,111.24,23.0,2889.96,2.0,16.0,83.7,5,M30,19.28,0.69,Low
4.6,3.27,8.53,1069.83,1.5,18.1,58.4,4,M20,20.07,0.77,Low
7.9,57.74,32.38,913.32,18.8,49.2,73.0,5,M20,9.22,1.29,Medium
6.51,82.84,52.58,2775.72,8.5,15.5,34.5,2,M20,16.46,1.26,High
4.4,87.0,77.92,291.7,20.3,26.2,71.6,2,M30,12.2,0.66,High
9.2,83.41,61.69,1355.9,14.1,-6.7,40.4,5,M40,5.7,0.95,Low
2.14,17.0,42.01,1819.75,3.1,40.5,82.4,3,M20,19.03,0.49,Medium
4.42,36.63,86.02,2005.19,68.3,28.9,26.3,1,M40,6.57,0.37,Medium
5.53,43.69,66.14,2577.29,1.6,14.2,78.0,9,M40,8.51,1.05,Medium
6.87,96.73,84.06,1306.48,55.5,-9.0,27.5,2,M40,4.75,0.68,Medium
